id_prod;nome_produto;id_conc;cidade_produto;cep_produto;endereco_produto;estado_produto;data_produto;tipo_oferta;grande_area;sub_area;pubico_alvo;faixa_peco;duração;maturidade;100% Online;grande_area_legenda;sub_area_legenda;
2545;LGPD: A sua empresa esta preparada?;294;;;Florianópolis;SC;03/01/2022;1;6.0;6.1;2;Gratuito;2.0;1;Sim;legal jurídica;lgpd;
2562;Como aumentar suas vendas;294;;;Florianópolis;SC;10/01/2022;1;2.0;2.4;2;Gratuito;3.0;1;Sim;mercado;vendas;
2576;Como criar um site para sua empresa;294;;;Florianópolis;SC;10/01/2022;1;5.0;5.4;2;Gratuito;2.0;1;Sim;estratégia;processos ti;
2590;Como Criar uma página no facebook;294;;;Florianópolis;SC;15/01/2022;1;3.0;3.5;1;Gratuito;2.0;1;Sim;pessoas;estratégia marketing;
2607;Como divulgar sua empresa;294;;;Florianópolis;SC;15/01/2022;1;3.0;3.5;1;Gratuito;3.0;1;Sim;pessoas;estratégia marketing;
2624;Como expandir seu negócio;294;;;Florianópolis;SC;15/01/2022;1;2.0;2.4;2;Gratuito;4.0;1;Sim;mercado;vendas;
2641;Como vender mais e melhor;294;;;Florianópolis;SC;15/01/2022;1;2.0;2.4;1;Gratuito;8.0;1;Sim;mercado;vendas;
2654;Fluxo de caixa: Microeemprendedor individual;294;;;Florianópolis;SC;16/01/2022;1;1.0;1.1;2;Gratuito;3.0;2;Sim;financeiro;gestão financeira;
2669;Como formalizar seu negócio como microempreendedor individual;294;;;Florianópolis;SC;16/01/2022;1;6.0;6.2;2;Gratuito;4.0;2;Sim;legal jurídica;gestão jurídica;
2683;Como se tornar um microempreendedor individual;294;;;Florianópolis;SC;16/01/2022;1;6.0;6.2;1;Gratuito;2.0;2;Sim;legal jurídica;gestão jurídica;
2700;Contador Parceiro: construindo o sucesso;294;;;Florianópolis;SC;16/01/2022;1;1.0;1.1;2;Gratuito;48.0;2;Sim;financeiro;gestão financeira;
2716;Contrato de trabalho;294;;;Florianópolis;SC;16/01/2022;1;6.0;6.2;2;Gratuito;8.0;2;Sim;legal jurídica;gestão jurídica;
2733;Criatividade;294;;;Florianópolis;SC;16/01/2022;1;3.0;3.4;2;Gratuito;3.0;1;Sim;pessoas;liderança;
2747;Introdução ao BIM para pequenas empresas;294;;;Florianópolis;SC;16/01/2022;1;6.0;6.2;2;Gratuito;2.0;2;Sim;legal jurídica;gestão jurídica;
2761;Legislação e negócios para o audiovisual;294;;;Florianópolis;SC;16/01/2022;1;6.0;6.2;2;Gratuito;12.0;2;Sim;legal jurídica;gestão jurídica;
2778;Logística para comércio eletrônico;294;;;Florianópolis;SC;16/01/2022;1;4.0;4.6;1;Gratuito;3.0;2;Sim;produção;logística;
2792;Marketing digital - módulo 2;294;;;Florianópolis;SC;16/01/2022;1;2.0;2.7;2;Gratuito;1.0;1;Sim;mercado;marketing digital;
2805;Nota fiscal eletrônica;294;;;Florianópolis;SC;16/01/2022;1;1.0;1.1;1;Gratuito;3.0;2;Sim;financeiro;gestão financeira;
2819;Planejamento para inovar: ferramentas - parte II;294;;;Florianópolis;SC;16/01/2022;1;3.0;3.4;1;Gratuito;6.0;2;Sim;pessoas;liderança;
2831;Políticas públicas de incentivo aos pequenos negócios;294;;;Florianópolis;SC;16/01/2022;1;6.0;6.2;1;Gratuito;3.0;1;Sim;legal jurídica;gestão jurídica;
2847;Pré-aceleração Sebrae Like a Boss;294;;;Florianópolis;SC;16/01/2022;1;5.0;5.2;2;Gratuito;60.0;2;Sim;estratégia;qual negócio entrar;
2864;Pregão eletrônico para o fornecedor;294;;;Florianópolis;SC;16/01/2022;1;2.0;2.2;2;Gratuito;4.0;3;Sim;mercado;fornecedores;
7847;Oficina MEI na Prática;294;;;;;01/01/2022;3;1.0;1.1;1;GRATUITO;2.0;1;Sem Informação;financeiro;gestão financeira;
8538;ESM - Programa de Desenvolvimento de Startups;294;;;;;01/01/2022;3;4.0;4.1;1;433200;2220.0;1;Sem Informação;produção;processo produtivo;
8540;ESM - Desenvolvimento de territórios inovativos;294;;;;;01/01/2022;6;4.0;4.1;1;300000;840.0;2;Sem Informação;produção;processo produtivo;
8300;ESM - Território, produtos e saberes - Indicação geográfica - IP/DO;294;;;;;01/01/2022;6;4.0;4.1;2;180000;840.0;2;Sem Informação;produção;processo produtivo;
8524;ESM - Projeto Comex SC;294;;;;;01/01/2022;6;2.0;2.6;2;167680;;4;Sem Informação;mercado;exportação novos mercados;
8626;ESM - Projeto Comex SC;294;;;;;01/01/2022;3;2.0;2.6;1;167680;;4;Sem Informação;mercado;exportação novos mercados;
8447;ESM - Programa para incentivar o relacionamento entre corporações e Startups;294;;;;;01/01/2022;6;4.0;4.1;1;151200;504.0;2;Sem Informação;produção;processo produtivo;
8234;ESM - Desenvolvimento de marcas com identidade cultural - Completo;294;;;;;01/01/2022;6;3.0;3.5;1;139400;695.0;2;Sem Informação;pessoas;estratégia marketing;
8569;ESM - Desenvolvimento de marcas com identidade cultural - Completo;294;;;;;01/01/2022;3;3.0;3.5;1;139400;695.0;2;Sem Informação;pessoas;estratégia marketing;
8407;"ESM - Turismo de base comunitária - ""Ser Coletivo"" - Completo";294;;;;;01/01/2022;6;4.0;4.1;1;133720;690.0;2;Sem Informação;produção;processo produtivo;
8507;ESM - Consultoria para implementação de Bancos Digitais e Fintecs;294;;;;;01/01/2022;6;1.0;1.1;1;132898,26;;2;Sem Informação;financeiro;gestão financeira;
8623;ESM - Consultoria para implementação de Bancos Digitais e Fintecs;294;;;;;01/01/2022;3;1.0;1.1;1;132898,26;;2;Sem Informação;financeiro;gestão financeira;
8522;ESM - LGPD: Privacidade e Proteção de dados pessoais - Até 200 funcionarios;294;;;;;01/01/2022;6;6.0;6.1;3;120000;;4;Sem Informação;legal jurídica;lgpd;
8488;ESM - Rede de experiência no turismo - Técnicas da economia da experiência para inovação em produtos turísticos;294;;;;;01/01/2022;6;4.0;4.1;1;111300;;2;Sem Informação;produção;processo produtivo;
8621;ESM - Rede de experiência no turismo - Técnicas da economia da experiência para inovação em produtos turísticos;294;;;;;01/01/2022;3;4.0;4.1;1;111300;;4;Sem Informação;produção;processo produtivo;
8531;ESM - Sebrae Capital Empreendedor;294;;;;;01/01/2022;3;4.0;4.1;1;107800;;2;Sem Informação;produção;processo produtivo;
8288;ESM - Desenvolvimento de vendas e processos no atendimento a cliente;294;;;;;01/01/2022;3;4.0;4.2;1;107500;12.0;2;Sem Informação;produção;processo prestação serviço;
8459;ESM - Programa de Excelência da Gestão - 250 PONTOS;294;;;;;01/01/2022;3;4.0;4.1;2;102000;;2;Sem Informação;produção;processo produtivo;
8204;ESM - Programa de Capacitação e Formação de Investidores Anjo / Investidores.vc;294;;;;;01/01/2022;3;4.0;4.1;1;100000;18.0;1;Sem Informação;produção;processo produtivo;
8305;ESM - Cocriando Sabor e Saber: Modelagem de eventos cocriativos de gastronomia, artesanato e design para o resgate da cultura local de regiões turísticas;294;;;;;01/01/2022;6;4.0;4.1;1;98750;;2;Sem Informação;produção;processo produtivo;
8521;ESM - LGPD: Privacidade e Proteção de dados pessoais - Até 150 funcionarios;294;;;;;01/01/2022;6;6.0;6.1;3;95000;;4;Sem Informação;legal jurídica;lgpd;
8274;ESM - Planejamento e Organização do Turismo de Base Comunitária (TBC);294;;;;;01/01/2022;6;4.0;4.1;2;93450;610.0;3;Sem Informação;produção;processo produtivo;
8465;ESM - Programa Inova Mais - Geração Z;294;;;;;01/01/2022;3;4.0;4.1;2;90090;;3;Sem Informação;produção;processo produtivo;
8239;ESM - Desenvolvimento de marcas com identidade cultural - Módulo 5;294;;;;;01/01/2022;6;3.0;3.5;1;90000;400.0;2;Sem Informação;pessoas;estratégia marketing;
8574;ESM - Desenvolvimento de marcas com identidade cultural - Módulo 5;294;;;;;01/01/2022;3;3.0;3.5;1;90000;400.0;2;Sem Informação;pessoas;estratégia marketing;
8463;ESM - Programa Inova Mais - Pro;294;;;;;01/01/2022;3;4.0;4.1;2;86510;;3;Sem Informação;produção;processo produtivo;
8370;ESM - Salto Aceleradora On-line;294;;;;;01/01/2022;6;4.0;4.1;1;82000;;2;Sem Informação;produção;processo produtivo;
8596;ESM - Salto Aceleradora On-line;294;;;;;01/01/2022;3;4.0;4.4;1;82000;;2;Sem Informação;produção;produtividade;
8494;ESM - Lean Thinking - Implementação do Lean Manufacturing - Acima 30 funcionários;294;;;;;01/01/2022;6;4.0;4.1;3;80080;416.0;4;Sem Informação;produção;processo produtivo;
8532;ESM - TXM Business 2;294;;;;;01/01/2022;3;4.0;4.1;1;80000;;2;Sem Informação;produção;processo produtivo;
8458;ESM - Programa de Excelência da Gestão - 125 PONTOS;294;;;;;01/01/2022;3;4.0;4.1;2;76700;;2;Sem Informação;produção;processo produtivo;
