Código;;Site;Rua;CEP;Cidade;Estado;CNPJ;Data de início de atividade;
152;STARTSE;https://www.startse.com/;;;;;24.554.736/0001-70;08/04/2016;
153;BRADESCO MEI;https://mei.bradesco/pdpj-fed-mei-web/#;;;;;60.746.948/0001-12;02/03/1943;
154;ALURA;https://www.alura.com.br/empresas;;;;SP;05.555.382/0001-33;;
155;TWYGO EAD;https://www.twygoead.com/;;;;;29.534.423/0001-73;25/01/2018;
156;STUDIOEAD;https://www.studioead.com.br/;;;;;Não localizado;;
157;SCAFFORDERCUCATION;https://scaffoldeducation.com.br/;;;;;26.175.956/0001-18;15/09/2016;
158;CONTEUDO ENGAGE;https://conteudo.engage.bz/ads-treinamento-online?utm_source=google&utm_medium=ppc&utm_campaign=treinamento_e_desenvolvimento&utm_term=educa%C3%A7%C3%A3o%20%C3%A0%20dist%C3%A2ncia&utm_term=educa%C3%A7%C3%A3o%20%C3%A0%20dist%C3%A2ncia&utm_campaign=%5BSEARCH%5D%5BONGOING%5D%5BMAX.+CONV%5D%5BDESK%5D+-+Treinamento+e+Desenvolvimento&utm_source=adwords&utm_medium=ppc&hsa_acc=9464595177&hsa_cam=1653068349&hsa_grp=66289919987&hsa_ad=520931463261&hsa_src=g&hsa_tgt=kwd-376784784&hsa_kw=educa%C3%A7%C3%A3o%20%C3%A0%20dist%C3%A2ncia&hsa_mt=p&hsa_net=adwords&hsa_ver=3&gclid=CjwKCAiAhreNBhAYEiwAFGGKPFZrUD8-itIzN0kHEn4aJQe0RoyYzPCf7WtUaGW7fWZAGHPIg-t5ChoCzCEQAvD_BwE;;;;;19.233.962/0001-19;11/11/2013;
159;NEILPATEL;https://neilpatel.com/br/blog/plataformas-de-cursos-online/;;;;;23.031.004/0001-32;10/08/2015;
160;CURSIFY;https://coursify.me/;;;;;Não localizado;;
161;COURSERA;https://pt.coursera.org/;;;;;Não localizado;;
162;ROCK UNIVERSITY;https://university.br.rockcontent.com/;;;;;16.501.060/0001-28;16/07/2012;
163;UOL ED TECH;http://uoledtech.com.br/para-empresas?hsLang=pt-br;;;;;18.777.517/0001-57;29/08/2013;
164;BRADESCO EDUCAÇÃO;https://www.educacao.org.br/_layouts/15/Portais.Educacao.Provider/CustomLoginPage.aspx?ReturnUrl=%2f_layouts%2f15%2fAuthenticate.aspx%3fSource%3d%252F&Source=%2F;;;;;60.701.521/0001-06;30/04/1970;
165;KHAN ACADEMY;https://pt.khanacademy.org/;;;;;44.640.250/0001-61;20/12/2021;
166;HOTMART;Hotmart;;;;;27.906.223/0001-79;06/06/2017;
167;EDUK;https://www.eduk.com.br/;;;;;10.247.557/0001-85;07/08/2008;
168;HOTMART;https://www.hotmart.com/pt/club/estudante;;;;;27.906.223/0001-79;06/06/2017;
169;ILOVERS;https://llovers.com.br/?ref=U10046768C;;;;;08.898.065/0001-08;06/06/2007;
170;EDOOLS;https://www.edools.com/;;;;;20.305.941/0001-40;22/05/2014;
171;TAKE5;https://www.take5.com.br/;;;;;00.678.499/0001-90;26/06/1995;
172;SAMBATECH;https://sambatech.com/;;;;;06.165.667/0001-20;23/03/2004;
173;MONETIZZE;https://www.monetizze.com.br/;;;;;23.055.665/0001-06;13/08/2015;
174;EAD BOX;https://eadbox.com/;;;;;13.284.219/0001-01;23/12/2010;
175;EDUZZ;https://academia360.eduzz.com/cursos;;;;;09.573.540/0001-39;07/05/2008;
176;VEDUCA;https://veduca.org/;;;;;15.821.270/0001-30;22/06/2012;
177;ACADEMY HUBSPOT;https://academy.hubspot.com/pt/;;;;;Não localizado;;
178;APRENDE AÍ;https://aprendeai.com/;;;;;13.264.804/0001-40;16/02/2011;
179;SAPIUM;https://www.sapium.com.br/;;;;;31.749.194/0001-56;11/10/2018;
180;SYMPLA;https://www.sympla.com.br/solucoes/sympla-play;;;;;14.512.528/0001-54;24/10/2011;
181;ACADEMIA ELORE;https://academia.elore.com.br/home;;;;;Não localizado;;
182;NO CHALKS;https://nochalks.com/plataforma-ead/;;;;;05.487.918/0001-20;03/02/2003;
183;MOODLE;https://moodle.org/?lang=pt_br;;;;;Não localizado;;
184;CENTRO EUROPEU;https://centroeuropeu.com.br/portal/areas/escola-de-negocios/;;;;;17.572.180/0001-89;18/12/2012;
185;CURSOS AVANTE;https://cursosavante.com.br/produto/curso-de-consultoria-empresarial-em-florianopolis-sc/;;;;;25.453.694/0001-43;10/08/2016;
186;EDUCAÇÃO EXECUTIVA;https://educacao-executiva.fgv.br/sp/sao-paulo;;;;;33.641.663/0001-44;16/02/1967;
187;UDESC ESAG;https://www.udesc.br/esag;;;;;02.365.677/0001-59;19/01/1998;
188;FACOPH ONLINE;http://www.facophonline.com.br/cursos/moodle/;;;;;04.344.730/0001-60;;
189;FACULDADE DE TIMBAUBA;https://www.faculdadedetimbauba.edu.br/;;;;;70.223.060/0001-59;06/06/1994;
190;FAETEC;http://www.faetec.rj.gov.br/;;;;;31.608.763/0001-43;11/12/1987;
191;FEBRACIS;https://febracis.com/;;;;;20.283.707/0001-60;20/05/2014;
192;FIEG;https://fieg.com.br/home;;;;;01.618.958/0001-03;18/06/1969;
193;FIESP;https://www.fiesp.com.br/;;;;;62.225.933.0001-34;15/10/1968;
194;FIRJAN;https://www.firjan.com.br/pagina-inicial.htm;;;;;42.422.212/0001-07;16/04/1975;
195;FUCAP;https://www.fucap.edu.br/wp/;;;;;03.681.405/0001-20;20/12/1999;
196;G4EDUCAÇÃO;https://g4educacao.com/;;;;;42.080.852/0001-86;25/05/2021;
197;GP CONSULTORIA;https://gppconsultoria.com.br/2017/;;;;;05.810.797/0001-06;01/08/2003;
198;HOLUS GESTAO;https://www.holusgestao.com.br/;;;;;09.462.670/0001-02;19/03/2008;
199;IBC COACHING;https://www.ibccoaching.com.br/;;;;;21.210.915/0001-00;10/10/2014;
200;PORTALIBG;https://portalibg.com.br/;;;;;10.409.442/0001-40;14/10/2008;
201;IMPACTA;https://impacta.com.br/;;;;;59.069.914/0001-51;10/06/1988;
202;GOV;https://www.gov.br/inpi/pt-br;;;;;42.521.088/0001-37;14/12/1970;
203;IFRJ;https://portal.ifrj.edu.br/;;;;;10.952.708/0001-04;30/12/2008;
204;INTEGRAÇÃO - ESCOLA DE NEGÓCIOS;https://integracao.com.br/?utm_source=google&utm_medium=cpc&utm_campaign=institucional&gclid=Cj0KCQiAqbyNBhC2ARIsALDwAsCAt3Pkty8Daa36METbFKP4ZMkrjm3EaBo9RVIixTXFpROWd4i5IN4aArWJEALw_wcB;;;;;03.493.782/0001-36;30/09/1999;
205;IPCBRASIL;https://ipcbrasil.com.br/;;;;SC;09.520.471/0001-03;29/04/2008;
206;IPECONT;https://ipecont.com.br/;;;;MG;18.579.559/0001-83;20/06/2013;
207;SLA COACHING;https://www.slacoaching.com.br/;;;;SP;15.229.739/0001-47;15/02/2012;
208;IVEN CONSULTORIA;https://ivenconsultoria.com.br/;;;;PR;27.810.853/0001-45;24/05/2017;
209;MACKENZIE;https://www.mackenzie.br/aluno-e-antigo-aluno/universidade/protagonismo-estudantil/empresa-junior;;;;SP;60.967.551/0008-27;16/09/2008;
210;GRUPO KLA;https://www.grupokla.com.br/;;;;SP;01.175.799/0001-10;29/04/1996;
211;LEANDRO ROSADAS;https://blog.leandrorosadas.com.br/;;;;;Pessoa física;;
212;CICLO DA MAESTRIA;https://ciclodamaestria.wendellcarvalho.com.br/fv_cdm_002/fvd2/cdm01/?src=13606073669_133138397427_564520800659&utm_source=&utm_medium=g&utm_campaign=fv_cdm_002&utm_content=ciclodamaestria&gclid=Cj0KCQiAqbyNBhC2ARIsALDwAsCOfhNYd7Zz8kil-zzcqwq4EX1UNJcTj8P5sgp_fPn9yoZh2_8O_poaAqTtEALw_wcB;;;;SC;11.957.930/0001-54;18/05/2010;
213;MICROLINS;https://www.microlins.com.br/;;;;SP;11.490.350/0001-08;08/01/2010;
214;INSTITUTO MIX;https://www.institutomix.com.br/cursos/?gclid=Cj0KCQiAqbyNBhC2ARIsALDwAsBud5MDTu4TvSgNnQ7SeOfVeSggDU1RXd3hL-sEV2mHHOcuTP7CrV4aAn08EALw_wcB;;;;SC;16.746.542/0001-48;15/08/2012;
215;MULTIVIX;https://multivix.edu.br/;;;;ES;11.062.400/0001-48;10/08/2009;
216;NEW CURSOS ONLINE;https://www.newcursosonline.com.br/;;;;;Não encontrado;;
217;; ;;;;;Não encontrado;;
218;ANA CARLA SOLER;https://www.linkedin.com/in/anacarlasoler/;;;;;Pessoa física;;
219;PARTNER BRASILIA;https://partnerbrasilia.com.br/cursos/;;;;DF;04.927.866/0001-01;28/02/2002;
220;GUIA TRABALHISTA;http://www.guiatrabalhista.com.br/guia/particip_lucros.htm;;;;;Não encontrado;;
221;MEC;http://portal.mec.gov.br/pronatec;;;;;Projeto do gov federal;;
222;CENSUPEG;https://www.censupeg.com.br/academy/;;;;RJ;10.158.686/0001-05;09/07/2008;
223;SESCON;https://sescon.org.br/;;;;SP;62.638.168/0001-84;09/12/1969;
224;TREINATEC;https://www.treinatec.net.br/;;;;SC;28.032.406/0001-75;23/06/2017;
225;SINDILAV;https://sindilav.com.br/;;;;SP;62.658.182/0001-40;24/03/1970;
226;SUCESSO EM VENDAS;https://sucessoemvendas.com.br/;;;;PR;14.577.166/0001-80;24/10/2011;
227;ALIANÇA EMPREENDEDORA;https://aliancaempreendedora.org.br/tamojunto/?gclid=Cj0KCQiAqbyNBhC2ARIsALDwAsBdyyDybbc33eqV0Z2qEeX8SDioENf_ct_krfUBtiEjXzQEG9hIqXkaAi7LEALw_wcB;;;;PR;07.324.851/0001-39;13/04/2005;
