Código,Nome,Site,Rua,CEP,Cidade,Estado,CNPJ,Data de início de atividade,Unnamed: 9,quantidade_de_cursos,preco_medio,preco_std,duracao_media,duracao_std,maturidade_media,prop_online,preco_hora_medio,idade
258,CLASS CENTRAL,https://www.classcentral.com/subject/business,Estados Unidos,,,,Fora do país,,,43,0.0,0.0,18.0,11.632586693024544,2.4186046511627906,1.0,0.0,
260,OPEN CULTURE,https://www.openculture.com/business_free_courses,Estados Unidos,,,,Fora do país,,,7,0.0,0.0,32.42857142857143,11.818353074255105,2.2857142857142856,1.0,0.0,
271,SEBRAE AC,https://www.sebrae.com.br/sites/PortalSebrae/cursoseeventos?uf=AC,,,,AC,63.595.557/0001-32,1991-04-05,,49,0.0,0.0,11.346938775510203,11.321914852843006,2.183673469387755,1.0,0.0,31.53972602739726
272,SEBRAE AL,https://www.sebrae.com.br/sites/PortalSebrae/cursoseeventos?uf=AL,,,,AL,12.517.413/0001-27,1981-04-03,,121,0.0,0.0,7.616666666666666,14.056542565257251,2.1983471074380163,1.0,0.0,41.55068493150685
273,SEBRAE AP,https://www.sebrae.com.br/sites/PortalSebrae/cursoseeventos?uf=AP,,,,AP,04.662.409/0001-24,1981-01-07,,107,0.0,0.0,5.457943925233645,8.33782101774549,1.5,1.0,0.0,41.78630136986301
274,SEBRAE AM,https://www.sebrae.com.br/sites/PortalSebrae/cursoseeventos?uf=AM,,,,AM,04.322.004/0001-47,1975-02-18,,3,0.0,0.0,2.6666666666666665,0.9428090415820634,1.0,0.0,0.0,47.676712328767124
275,SEBRAE BA,https://www.sebrae.com.br/sites/PortalSebrae/cursoseeventos?uf=BA,,,,BA,14.797.724/0034-80,1991-04-24,,100,0.0,0.0,6.08,9.673344819657778,1.505050505050505,1.0,0.0,31.487671232876714
276,SEBRAE CE,https://www.sebrae.com.br/sites/PortalSebrae/cursoseeventos?uf=CE,,,,CE,07.121.494/0001-01,1972-01-31,,114,0.0,0.0,5.885964912280702,9.153427861342653,1.5398230088495575,1.0,0.0,50.728767123287675
277,SEBRAE DF,https://www.sebrae.com.br/sites/PortalSebrae/cursoseeventos?uf=DF,,,,DF,00.438.200/0001-20,1975-12-29,,4,0.0,0.0,4.0,0.0,1.0,0.0,0.0,46.81643835616438
278,SEBRAE ES,https://www.sebrae.com.br/sites/PortalSebrae/cursoseeventos?uf=ES,,,,ES,27.364.462/0001-44,1977-01-25,,33,73.33333333333333,216.79017458819436,7.848484848484849,11.822221531790891,1.696969696969697,0.0,9.343629343629344,45.73972602739726
279,SEBRAE GO,https://www.sebrae.com.br/sites/PortalSebrae/cursoseeventos?uf=GO,,,,GO,01.269.984/0001-73,1973-10-16,,18,0.0,0.0,7.111111111111111,6.045098003882419,1.7777777777777777,0.0,0.0,49.01917808219178
280,SEBRAE MA,https://www.sebrae.com.br/sites/PortalSebrae/cursoseeventos?uf=MA,,,,MA,06.053.847/0001-10,1973-04-24,,97,0.0,0.0,5.484536082474227,9.202323106584359,1.5104166666666667,1.0,0.0,49.4986301369863
281,SEBRAE MT,https://www.sebrae.com.br/sites/PortalSebrae/cursoseeventos?uf=MT,,,,MT,03.534.450/0001-52,1975-12-24,,2,260.0,80.0,18.0,6.0,1.5,0.0,14.444444444444445,46.83013698630137
282,SEBRAE MS,https://www.sebrae.com.br/sites/PortalSebrae/cursoseeventos?uf=MS,,,,MS,15.419.591/0001-03,1980-02-06,,13,0.0,0.0,3.076923076923077,2.1289773081689307,1.5384615384615385,0.0,0.0,42.706849315068496
283,SEBRAE MG,https://www.sebrae.com.br/sites/PortalSebrae/cursoseeventos?uf=MG,,,,MG,16.589.137/0001-63,1972-09-12,,103,0.0,0.0,5.689320388349515,8.526405730655743,1.5728155339805825,1.0,0.0,50.11232876712329
284,SEBRAE PA,https://www.sebrae.com.br/sites/PortalSebrae/cursoseeventos?uf=PA,,,,PA,05.081.187/0001-19,1974-09-19,,100,0.0,0.0,5.4646464646464645,7.548246343013107,1.52,1.0,0.0,48.09315068493151
